Name; asdf;
Race; asdf;
Class; asdf;
Background; asdf;
Alignment; asdf;
Playername; asdf;
ExperiencePoints; 1234;
_proficiency; 3;
HitDice; 1asfd2;
MaxHitPoints; 1234;
CurrentHitPoints; 234;
TemporaryHitPoints; 234;
Speed; 234;
Initiative; 1234;
ArmorClass; 12344;
Inspiration; False;
DeathSaveFail0; False;
DeathSaveFail1; True;
DeathSaveFail2; False;
DeathSaveSuccess0; True;
DeathSaveSuccess1; False;
DeathSaveSuccess2; True;
ArmorProf;Light;Heavy;Cloth;
WeaponProf;
ToolProf;
LanguageProf;
_strength; 10;
ProfStrength; True;
_dexterity; 12;
ProfDexterity; False;
_constitution; 13;
ProfConstitution; True;
_intelligence; 14;
ProfIntelligence; False;
_wisdom; 15;
ProfWisdom; True;
_charisma; 16;
ProfCharisma; False;
_profAcrobatics; True;
_profAnimal_Handling; False;
_profArcana; True;
_profAthletics; False;
_profDeception; True;
_profHistory; False;
_profInsight; True;
_profIntimidation; False;
_profInvestigation; True;
_profMedicine; False;
_profNature; True;
_profPerception; False;
_profPerformance; True;
_profPersuasion; False;
_profReligion; True;
_profSleight_of_Hand; False;
_profStealth; True;
_profSurvival; False;
